1;2;3;4;5;6;7;8
Природный парк «Ингилор» (образован в результате преобразования природного парка «Полярно-Уральский»);921986;биологический;Приуральский район;Производственный;Рекреационные;https://i.postimg.cc/jjfZM5zb/image.png ;
Государственный природный заказник регионального значения «Мессо-Яхинский»;86033;биологический;Тазовский район;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/CLyD4Ncz/image.jpg ;
Государственный природный заказник регионального значения «Полуйский»;63 196;биологический;Приуральский район;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/8kZ9J74K/image.jpg ;
Государственный природный заказник регионального значения «Верхнеполуйский»;195322;биологический;Приуральский район;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/3RnSvqX4/image.jpg ;
Государственный природный заказник регионального значения «Пякольский»;438560;биологический;Красноселькупский район;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/s2nHB89B/image.jpg  ;
Государственный природный заказник регионального значения «Собты-Юганский»;358429;биологический;Приуральский район;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/C5MKvRnr/image.jpg ;
Государственный природный заказник регионального значения «Ямальский»;4113685,68;биологический;Ямальский район;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/wT8zTyjC/image.jpg ;
Памятник природы «Харбейский»;563,62;геологический;Приуральский район;Непроизводственный;Рекреационные;https://i.postimg.cc/6QGz333P/image.jpg ;
Государственный природный заказник регионального значения «Куноватский»;252 860,57;биологический;Шурышкарский район;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/pVkQP8CT/image.png  https://i.postimg.cc/6528FG1F/2.png ;
;;;;;;Женя, два участка в этом ООПТ;
Государственный природный заказник регионального значения «Надымский»;562995,51;биологический;Надымский район;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/Kzt2nx9q/image.png ;
Государственный природный заказник регионального значения «Нижне-Обский»;142203,92;биологический;Ямальский район;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/RVygzKCt/image.jpg ;
Государственный природный заказник регионального значения «Сынско-Войкарский»;292049;биологический и зоологический ;Шурышкарский район;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/nhnGx2bC/image.png ;
ООПТ федерального значения;;;;;;;
Государственный природный заповедник «Верхне-Тазовский» (федеральное значение);631308;биологический;Красноселькупский район;Непроизводственный;Рекреационные;https://i.postimg.cc/m2LP25kf/image.jpg ;
Национальный парк «Гыданский» (федеральное значение);878174;биологический;Тазовский район;Непроизводственный;Заповедные;https://i.postimg.cc/HLpZSHsv/image.jpg ;
;;;;;;;
;;;;;;;
Категория ООПТ;;;;;;;
;;;;;;;
;;;;;;;
ООПТ ХМАО-Югры;;;;;;;
;;;;;;;
Наименовани е ООПТ;Категория ООПТ;Площадь, га;ТИП ООПТ;ВИД ООПТ;Ссылка;;
ООПТ федерального значения;;;;;;;
Юганский;государственный природный заповедник;648636;Непроизводственный;Заповедные;https://i.postimg.cc/sgmNHZYS/image.jpg ;https://i.postimg.cc/sgmNHZYS/image.jpg ;
Малая Сосьва;государственный природный заповедник;225562;Непроизводственный;Заповедные;https://i.postimg.cc/XJyFSj3k/image.jpg ;https://i.postimg.cc/XJyFSj3k/image.jpg ;
Верхне-Кондинский;государственный природный заказник;241600;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/0yQz1k0K/image.jpg ;https://i.postimg.cc/0yQz1k0K/image.jpg ;
Елизаровский;государственный природный заказник;76600;Непроизводственный;Заповедные;https://i.postimg.cc/c46WsrPW/image.jpg ;https://i.postimg.cc/c46WsrPW/image.jpg ;
Васпухольский;государственный природный заказник;93200;Непроизводственный;Заповедные;https://i.postimg.cc/SQv5fVt0/image.jpg ;https://i.postimg.cc/SQv5fVt0/image.jpg ;
ООПТ регионального значения ;;;;;;;
Кондинские озера ;Природный  парк;43900;Производственный;Смешанные;https://i.postimg.cc/RZQsYnB9/image.gif ;https://i.postimg.cc/RZQsYnB9/image.gif ;
Нумто;Природный  парк;556664;Производственный;Смешанные;https://i.postimg.cc/4y9wQY5D/image.jpg ;https://i.postimg.cc/4y9wQY5D/image.jpg ;
Сибирские Увалы;Природный  парк;299620;Непроизводственный;Рекреационные;https://i.postimg.cc/KcPMB7rZ/image.gif ;https://i.postimg.cc/KcPMB7rZ/image.gif ;
Самаровски й Чугас;Природный  парк;6621;Непроизводственный;Селитебные;https://i.postimg.cc/ryNDKVMs/image.png ;https://i.postimg.cc/ryNDKVMs/image.png ;
Вогулка;Природный заказник;64747;Непроизводственный;Рекреационные;https://i.postimg.cc/VsgNzKWb/image.jpg ;https://i.postimg.cc/VsgNzKWb/image.jpg ;
Березовский;Природный  заказник;43320;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/PJVhYFS3/image.jpg ;https://i.postimg.cc/PJVhYFS3/image.jpg ;
Сорумский;Природный  заказник;159300;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/Px2knRnX/image.jpg ;https://i.postimg.cc/Px2knRnX/image.jpg ;
Унторский;Природный  заказник;81526;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/X7Z6tLHW/image.jpg ;https://i.postimg.cc/X7Z6tLHW/image.jpg ;
Сургутский;Природный  заказник;24530;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/NjmqjMvP/image.jpg ;https://i.postimg.cc/NjmqjMvP/image.jpg ;
Система озёр Ун-Новыинклор, Ай-Новыинклор;Памятник природы;598,4;Непроизводственный;Селитебные;https://i.postimg.cc/0Q5Ln0ML/image.jpg ;https://i.postimg.cc/0Q5Ln0ML/image.jpg ;
Луговские мамонты;Памятник природы;161,2;Непроизводственный;Рекреационные;https://i.postimg.cc/Jz1vMQKt/image.jpg ;https://i.postimg.cc/Jz1vMQKt/image.jpg ;
Лешак-Щел ья;Памятник природы;2320;Непроизводственный;Рекреационные;https://i.postimg.cc/JzrrvZk5/image.jpg ;https://i.postimg.cc/JzrrvZk5/image.jpg ;
Ильичевски й бор;Памятник природы;38;Непроизводственный;ООПТ с лесопромышленным комплексом ;https://i.postimg.cc/rsDWS78z/image.jpg ;https://i.postimg.cc/rsDWS78z/image.jpg ;
Остров Овечий;Памятник природы;176;Непроизводственный;Рекреационные;https://i.postimg.cc/3Jp1VDTN/image.jpg ;https://i.postimg.cc/3Jp1VDTN/image.jpg ;
Остров Смольный;Памятник природы;486;Непроизводственный;Рекреационные;https://i.postimg.cc/FzSyMww8/image.jpg ;https://i.postimg.cc/FzSyMww8/image.jpg ;
Лесоболотн ая зона Большое Каюково;Памятник природы;5753;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/cLhRGR5x/image.jpg ;https://i.postimg.cc/cLhRGR5x/image.jpg ;
Чеускински й бор;Памятник природы;100;Непроизводственный;Рекреационные;https://i.postimg.cc/FFS0H5nn/image.jpg ;https://i.postimg.cc/FFS0H5nn/image.jpg ;
Дальний Нырис;Памятник природы;1773,1;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/MKbR10w7/image.jpg ;https://i.postimg.cc/MKbR10w7/image.jpg ;
ООПТ местного значения;;;;;;;
Озеро Ранге-Тур (ООПТ местного значения);Памятник природы;863,4;Непроизводственный;Рекреационные;https://i.postimg.cc/cHntCwT8/image.gif ;https://i.postimg.cc/cHntCwT8/image.gif ;
Медянская роща;Памятник природы;119,719;Непроизводственный;Рекреационные;https://i.postimg.cc/QCkQNwJz/image.jpg ;https://i.postimg.cc/QCkQNwJz/image.jpg ;
Минеральные озе ра;Памятник природы;149,26;Непроизводственный;Рекреационные;https://i.postimg.cc/gkVSrB0m/image.jpg ;https://i.postimg.cc/gkVSrB0m/image.jpg ;
Народный парк;Памятник природы;72;Непроизводственный;Селитебные;https://i.postimg.cc/zf61zPd8/image.jpg ;https://i.postimg.cc/zf61zPd8/image.jpg ;
