Наименование ООПТ;;Площадь, га;;Профиль;Местоположение;Основные объектов охраны;Органы, осуществляющие управление ООПТ;ТИП ООПТ;ВИД ООПТ;Ссылка
;;;ООПТ регионального значения ;;;;;;;
Природный парк «Ингилор» (образован в результате преобразования природного парка «Полярно-Уральский»);;921986;;биологический;Приуральский район;"Птицы: беркут, сапсан и серый сорокопут, турпан, дупель, белая сова, дупель;";Департамент природных ресурсов и экологии ЯНАО.;Производственный;Рекреационные;https://i.postimg.cc/jjfZM5zb/image.png 
;;;;;;"Копытные: дикий северный олень, лось;";Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;"Рыбы: таймень, тугун, арктический голец;";;;;
;;;;;;Плотоядные: росомаха.;;;;
;;;;;;Историко культурные объекты: традиционные стойбища и священные места коренных народов севера, ракетные шахты времен «холодной войны», объекты 501 стройки;;;;
;;;;;;"Геологические и природно-ландшафтные объекты: озера Большое Хадатинское, Большое Щучье; «Долина нефритов»";;;;
Государственный природный заказник регионального значения «Мессо-Яхинский»;;86033;;биологический;Тазовский район;Ихтиофауна: нельма, чир, пыжьян. Орнитофауна: водоплавающие. ;Департамент природных ресурсов и экологии ЯНАО.;Производственный;ООПТ с нефтегазовым освоением;https://i.postimg.cc/CLyD4Ncz/image.jpg 
;;;;;;Млекопитающие: бурый медведь, лось, дикий северный олень, ондатра. Пойменные озерно-болотные комплексы. ;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Места скоплений водоплавающих на пролете. Феномены: малый тундряной лебедь;;;;
Государственный природный заказник регионального значения «Полуйский»;;63 196;;биологический;Приуральский район;Ихтиофауна: чир, пыжьян, пелядь. Орнитофауна: малый тундряной лебедь, краснозобая казарка, гуменник, серый гусь, пискулька, глухарь, ястреб, скопа, орлан-белохвост, сапсан, кречет. Млекопитающие: бурый медведь, лось, выдра.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/8kZ9J74K/image.jpg 
;;;;;;Историко-культурные объекты: объекты 501 стройки («дорога смерти»);Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
Государственный природный заказник регионального значения «Верхнеполуйский»;;195322;;биологический;Приуральский район;Ихтиофауна: чир, окунь, пелядь щука, карась, язь, елец. ;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/3RnSvqX4/image.jpg 
;;;;;;Млекопитающие: песец, медведь бурый, соболь, росомаха, норка американская, лось.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Орнитофауна: ;;;;
;;;;;;гуменник, обыкновенный турпан, скопа, беркут, орлан – белохвост, серый журавль, кулик-сорока, филин, серый сорокопут, водоплавающие птицы (тундряный лебедь, пискулька, белощекая казарка, белоклювая гагара).;;;;
Государственный природный заказник регионального значения «Пякольский»;;438560;;биологический;Красноселькупский район;Ихтиофауна: нельма, чир, пыжьян, пелядь.;Департамент природных ресурсов и экологии ЯНАО.;Непроизводственный;ООПТ с традиционным природопользованием;https://i.postimg.cc/s2nHB89B/image.jpg  
;;;;;;Орнитофауна: малый тундряной лебедь, краснозобая казарка, пискулька, глухарь, ястреб, скопа, орлан-белохвост, сапсан, кречет.;Бюджетное учреждение «Дирекция ООПТ регионального значения ЯНАО»;;;
;;;;;;Млекопитающие: бурый медведь, лось, дикий северный олень, соболь, выдра.;;;;
;;;;;;Экосистемы северо-таёжной подзоны тайги и южной тундры рек Таз и Пяколькы;;;;
