name,category,profile,earths,property,division,area,region,data,akt,edition,archeology,hydrology,hunting,geology,deforest,fishery,agricultur,building,tourism,shape_leng,shape_area,_prop,_prop_2,_region,_square_ga,_category,_type_1,_type_2,photo_url,sequrity,test,Лист8_Field2,Лист8_Field3,Лист8_Field4,Лист8_Field5,Лист8_Field6,name_2
Роща Декабристов,памятник природы,комплексный,земли населенных пунктов,Региональная,72:26:03 02 002:0219,78.8659973144531,г. Ялуторовск,1968/08/22,Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся № 515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г.; ПА ТО №132-пк от 25.10.2004 г.; ПП ТО №174-п от 30.07.2007 г.; ПП ТО №132-п от 18.04.2011 г.; ПП ТО №441-п от 22.10.2012 г.; ПП ТО №59-",,,Запрещено,,Запрещено,,Запрещено,Запрещено,Разрешено,7215.61784888607,2603478.26898112,Региональный,reg_pam_prir,TYM,"78,87",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/xT3WbZ49/image.jpg ,,,Памятник природы,г. Ялуторовск,"Растительность: ятрышник шлемоносный, любка двулистная и др. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Роща Декабристов
Тополя,памятник природы,комплексный,"земли населенных пунктов, земли лесного фонда",,72:17-6.1440,58.9261016845703,Тюменский,2000/03/31,Решение Губернатора Тюменской области №297-р,"ПП ТО №120-п от 19.04.2013; ПП ТО №197-п от 05.06.2013; ПП ТО №451-п от 16.10.2013; ПП ТО №244-п от 24.04.2020",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,7262.53135511675,1960662.60386546,Региональный,reg_pam_prir,TYM,"58,93",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/8P902V9k/image.jpg ,,,Памятник природы,г. Тюмень,"Растительность: липа сердцелистная, дремлик болотный, дремлик зимовниковый и др.Ландшафт: березняк разнотравный.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Тополя
Песьяновский,государственный природный заказник,комплексный,земли сельскохозяйственного назначения,,"72:10:01 05 001:0326, 72:10:01 07 001:0048, 72:10:02 10 001:0227; 72:10-9.2",11740.8603515625,Ишимский,1996/04/22,Решение Администрации Тюменской области №285-р,ПП ТО №217-п от 22.04.2021 г.,Нет данных,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,90604.7146249042,382341545.806446,Региональный,reg_zac,TYM,"11740,86",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/K8zmSnq6/image.png,,,государственный природный заказник,Ишимский район,"Орнитофауна: степной лунь, большой подорлик, беркут, орлан-белохвост, кречет, сапсан, кулик-сорока, шилоклювка, большой кроншнеп, степная тиркушка, малая крачка, филин, серый сорокопут, краснозобая казарка, пискулька, лебедь-шипун, скопа, могильник, степная пустельга.Млекопитающие: лось, косуля, заяц-беляк, лисица, колонок, белка, куница, барсук.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Песьяновский
Песочный,государственный природный заказник,комплексный,земли сельскохозяйственного назначения,,72.04.2.48,1406.33081054688,Бердюжский,1968/01/24,Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся № 53,"Решение ИК ТО Совета ДТ №53 от 24.01.1968 г.; Решение ИК ТО Совета ДТ № 255 от 15.04.1975 г.; Решение ИК ТО Совета НД №308 от 22.09.1980 г.; Решение ИК ТО Совета Н",,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,29828.2666094638,43782907.3856692,Региональный,reg_zac,TYM,"1406,33",государственный природный заказник,Производственный,ООПТ с сельскохозяйственной деятельностью,https://i.postimg.cc/zv7Y4BnD/image.jpg,,,государственный природный заказник,Бердюжский район,"Орнитофауна: кудрявый пеликан, краснозобая казарка, орлан-белохвост, сапсан, савка, пискулька, лебедь-шипун и др.Млекопитающие: большой тушканчик, джунгарский хомячок, заяц-русак, корсак. Растительность: тимьян Маршалла, вишня степная, вероника Крылова.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Песочный
Пихтовый мыс,памятник природы,комплексный,земли лесного фонда,,72:22:00 00 000:163,212,Ярковский,2007/05/17,Решение Правительства Тюменской области №111-п,"ПП ТО №111-п от 17.05.2007г, ПП ТО №132-п от 18.04.2011г, ПП ТО №293-п от 22.07.2013г, ПП ТО №80-п от 19.02.2021г.",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,13144.5209546559,7452729.6157659,Региональный,reg_pam_prir,TYM,"212,00",Памятник природы,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/nLrzWBDQ/image.jpg ,,,Памятник природы,Ярковский район,"Раститильность: липа сердцелистная, пихтовый лес с примесью липы и сосны. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Пихтовый мыс
Лесопарк Затюменский,памятник природы,комплексный,земли населенных пунктов,Региональная,"72:23:02 14 003:0025, 72:23:0214003:29",100.056198120117,г. Тюмень,1968/08/22,Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся № 515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г., ПА ТО №93-пк от 30.08.2004 г., ПП ТО №14-п от 25.01.2016 г., ПП ТО №465-п от 11.08.2021 г.",,,Запрещено,,Запрещено,,Запрещено,Запрещено,Разрешено,15188.3722412274,3400097.70632546,Региональный,reg_pam_prir,TYM,"100,06",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/T3ZF7mZq/image.jpg,,,Памятник природы,г. Тюмень,"Растительность: липа сердцевидная ясень, вяз, дуб черешчатый. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Лесопарк Затюменский
Барсучье,государственный природный заказник,комплексный,,,72.14.2.19,20753,Сладковский,2000/06/09,Распоряжение Губернатора Тюменской области №606-р,"РГ ТО №606-р от 08.06.2000 г., РГ ТО №275-р от 21.05.2001 г., РА ТО №1028-рк от 22.11.2004 г., ПП ТО №460-п от 20.07.2020 г.",,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,121234.121335998,650959704.126564,Региональный,reg_zac,TYM,"20753,00",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/SNRPmD4f/image.jpg,,,государственный природный заказник,Сладковский район,"Орнитофауна: сапсан, беркут, скопа, орлан-белохвост, большой кроншнеп, краснозобая казарка, пискулька, луговой лунь. Млекопитающие: большой тушканчик, джунгарский хомячок, косуля, кабан, лисица, колонка, ондатра, горностай, ласка, заяц-беляк.Наличие эталонных ландшафтов средней лесостепи. Входит в состав водно-болотного угодья международного значения «Тоболо-Ишимская лесостепь»","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Барсучье
Озеро Монастырское,памятник природы,гидрологический,земли особо охраняемых территорий и объектов,Региональная,72:05:10 09 001:0846,1277.634765625,Вагайский,2005/05/30,Постановление Правительства Тюменской области №47-п,"ПП ТО №47-п от 30.05.2005; ПП ТО №80-п от 04.04.2006; ПП ТО №201-п от 31.08.2007; ПП ТО №132-п от 18.04.2011; ПП ТО №441-п от 22.10.2012; ПП ТО №59-п от 21.02.2013; ПП ТО №379-п от 19.06.2020",,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,31732.5927291821,44721781.8097221,Региональный,reg_pam_prir,TYM,"1277,63",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/cHgfp6zX/image.jpg ,,,Памятник природы,Вагайский район,"Орнитофауна: кряква, красноголовый нырок, чирок-трескунок, шилохвость, свиязь, чайка сизая; на лугах отмечены серый журавль и коростель.Млекопитающие: кутора обыкновенная, водяная полевка, ондатра, горностай, колонок.Территория представлена эталонными фитоценозами пойменных экосистем.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Озеро Монастырское
Припышминские боры,памятник природы,комплексный,земли лесного фонда,,72:17:23 13 005:0895,315.700012207031,Тюменский,1986/09/03,Распоряжение совета Министров РСФСР №1204-р,"РСМ РСФСР №1204-р от 03.09.1986; РИК ТО Совета НД №547-р от 09.09.1986; РА ТО №320-р от 25.04.2003; РА ТО №1116-рк от 06.12.2004; ПП ТО №242-п от 24.04.2020",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,12925.5409164397,10576266.3722181,Региональный,reg_pam_prir,TYM,"315,70",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/y6QfpcRg/image.jpg,,,,,,,,Припышминские боры
Поваровский,государственный природный заказник,"комплексный, зоологический",не определена,,72.18.2.83,13310.400390625,Уватский,1998/12/07,Решение Губернатора Тюменской области №954-р,"РГ ТО №954-р от 07.12.1998 г., ПП ТО №175-п от 01.04.2021 г.",,,Запрещено,Разрешено,Запрещено,Нет данных,Запрещено,Запрещено,Разрешено,177931.768715846,499658941.439201,Региональный,reg_zac,TYM,"13310,40",государственный природный заказник,Производственный,ООПТ с нефтегазовым освоением,https://i.postimg.cc/KzVMBGKz/image.jpg,,,государственный природный заказник,Уватский район,"Орнитофауна: орлан-белохвост, кречет, скопа, большой кроншнеп, большой подорлик, беркут, черный аист и др. Млекопитающие: кабан, косуля, лисица, песец, лось, бурый медведь, заяц-беляк, куница, ондатра, рысь, норка.Растительность: липа сердцелистная, кувшинка четырехгранная, некера перистая, брайдлерия луговая, лишайник. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Поваровский
